                                   |simple prediction| adv. prediction |
Immagine|  size  |  H(X)  | ZIP(X) |  H(Y)  |  EG(Y) |  H(Y)  |  EG(Y) |
   einst| 512x512| 6.7850 | 6.3918 | 5.3945 | 6.9466 | 5.1268 | 6.5228 |
   house| 512x512| 7.0564 | 4.0025 | 3.3123 | 3.4280 | 3.4200 | 3.5501 |
    lake| 512x512| 7.4845 | 6.8843 | 5.6092 | 7.0357 | 5.4157 | 6.6706 |
    lena| 512x512| 7.4451 | 6.8078 | 5.0645 | 6.1036 | 4.5352 | 5.3226 |
 peppers| 512x512| 7.5937 | 7.0815 | 5.0970 | 6.3497 | 4.7739 | 5.8337 |
   plane| 512x512| 6.7039 | 5.7143 | 4.6268 | 5.2084 | 4.4950 | 4.9915 |
  spring| 512x512| 7.1571 | 6.9186 | 5.9502 | 7.7694 | 5.2747 | 6.6516 |
   titti| 885x498| 7.1834 | 5.2424 | 4.3854 | 4.7837 | 4.0577 | 4.4146 |
vStripes| 256x256| 1.0000 | 0.0446 | 1.0003 |17.0000 | 1.0331 |16.9377 |
hStripes| 256x256| 1.0000 | 0.1149 | 0.0409 | 1.0625 | 1.0331 |16.9377 |
  vShade| 256x256| 8.0000 | 0.1016 | 0.0370 | 1.0080 | 0.0370 | 2.9924 |
  hShade| 256x256| 8.0000 | 0.1051 | 0.0370 | 3.0547 | 0.0660 | 1.0158 |
   noise| 256x256| 7.9972 | 8.0345 | 8.7115 |13.7085 | 8.5674 |13.5130 |
   titti| 885x498| 7.1834 | 5.2424 | 4.3854 | 4.7837 | 4.0577 | 4.4146 |
   titti| 885x498| 7.1834 | 5.2424 | 4.3854 | 4.7837 | 4.0577 | 4.4146 |
