[10, [34.62, 31.96, 30.67, 30.55, 30.68, 29.55, 30.68, 30.94, 31.19, 30.94, 30.01, 30.01, 30.94, 30.84, 30.65, 30.83, 30.71, 30.79, 30.68, 31.38, 31.66, 30.91, 31.24, 31.0, 32.43, 32.13, 31.89, 31.92, 30.46, 30.71, 31.09, 29.15, 31.87, 30.51, 29.59, 30.92, 31.46, 30.45, 30.37, 30.52, 30.8, 30.14, 30.25, 31.74, 31.2, 30.24, 31.7, 32.32, 30.79, 31.78, 31.57, 32.0, 32.24, 31.94, 31.91, 31.73, 30.77, 31.0, 31.64, 31.14, 30.86, 30.71, 31.27, 31.64, 31.69, 30.97, 31.78, 32.36, 31.69, 32.04, 32.1, 31.33, 31.29, 31.73, 32.41, 31.03, 32.15, 30.71, 31.67, 31.73, 31.06, 32.26, 31.13, 31.46, 31.59, 30.53, 30.46, 30.22, 30.8, 30.08, 30.13, 30.14, 30.21, 31.63, 31.17, 30.79, 30.17, 30.63, 30.54, 30.86, 31.84, 30.26, 31.87, 31.93, 31.8, 31.67, 32.27, 31.03, 31.55, 31.3, 31.62, 31.09, 30.89, 31.11, 30.64, 32.05, 31.87, 32.28, 32.24, 31.49, 31.76, 31.73, 31.27, 32.23, 31.19, 32.11, 32.1, 31.3, 32.68, 31.91, 31.64, 31.87, 32.24, 31.97, 32.47, 31.06, 31.29, 32.33, 30.94, 31.82, 31.42, 32.13, 31.05, 32.25, 31.68, 31.55, 32.58, 32.23, 31.81, 31.09, 30.99, 30.93, 31.48, 32.0, 31.61, 31.1, 31.14, 31.5, 31.87, 32.09, 32.37, 31.85, 30.7, 31.45, 32.24, 30.69, 31.11, 31.65, 31.9, 31.45, 32.58, 32.55, 31.63, 31.44, 31.88, 32.03, 31.56, 31.78, 31.93, 30.94, 31.67, 31.61, 32.37, 31.16, 31.21, 32.4, 32.6, 31.56, 31.0, 31.09, 31.64, 31.75, 31.79, 31.57, 31.99, 30.57, 32.15, 31.93, 32.2, 30.75, 32.52]]
[60, [30.14, 31.0, 30.24, 30.76, 30.03, 29.98, 29.56, 30.6, 30.62, 29.99, 31.25, 30.73, 31.46, 31.18, 30.41, 30.35, 30.78, 31.36, 30.49, 30.31, 31.26, 31.32, 30.48, 32.53, 32.89, 32.03, 31.48, 31.55, 30.95, 31.03, 30.08, 30.31, 30.41, 32.18, 30.16, 30.57, 31.3, 30.86, 29.9, 32.05, 30.68, 32.17, 31.02, 31.04, 30.64, 30.85, 30.83, 32.32, 31.29, 30.88, 32.65, 31.66, 31.95, 32.06, 31.42, 32.57, 32.07, 30.97, 29.96, 32.74, 30.27, 30.78, 32.18, 31.98, 32.05, 32.03, 31.72, 31.22, 31.93, 32.96, 32.13, 32.1, 31.74, 30.97, 31.54, 31.76, 31.95, 31.72, 32.38, 31.67, 32.38, 32.8, 31.82, 32.4, 31.52, 29.85, 30.01, 30.66, 31.24, 31.16, 31.18, 31.03, 30.49, 31.18, 30.14, 30.22, 30.79, 31.12, 30.23, 30.95, 31.15, 32.54, 32.02, 32.95, 31.32, 31.64, 32.36, 31.96, 31.84, 30.78, 30.67, 32.36, 31.04, 31.97, 32.27, 31.64, 32.57, 31.95, 30.9, 31.9, 30.57, 30.75, 32.05, 31.69, 32.13, 30.14, 32.7, 32.03, 31.22, 32.29, 32.75, 32.77, 31.58, 32.5, 31.42, 32.18, 32.1, 32.15, 31.37, 32.03, 31.31, 31.5, 32.94, 32.49, 33.24, 31.44, 30.87, 31.32, 30.26, 31.96, 31.6, 32.08, 31.77, 31.7, 31.02, 31.38, 31.65, 31.25, 31.11, 30.67, 31.38, 32.83, 30.56, 31.98, 31.93, 31.84, 31.38, 32.16, 30.74, 30.48, 32.2, 32.52, 32.73, 33.31, 32.53, 31.54, 31.64, 30.71, 32.82, 31.64, 31.27, 32.22, 31.61, 32.48, 32.07, 33.33, 31.68, 32.6, 33.16, 32.44, 32.44, 31.74, 31.54, 32.2, 31.46, 29.67, 30.6, 32.3, 30.55, 32.01, 30.41]]
[110, [34.34, 32.14, 31.26, 30.67, 30.86, 29.74, 30.25, 30.46, 30.7, 31.1, 30.58, 30.55, 31.69, 30.71, 31.19, 30.85, 30.3, 31.08, 30.78, 30.93, 31.54, 30.84, 31.28, 30.77, 32.32, 32.59, 31.95, 31.68, 30.44, 30.54, 30.24, 29.37, 31.57, 30.56, 29.91, 30.62, 31.11, 30.83, 30.48, 30.24, 30.91, 30.42, 30.0, 31.14, 31.53, 30.25, 31.85, 32.06, 31.0, 32.04, 31.89, 31.66, 32.01, 31.74, 31.71, 31.16, 31.36, 30.91, 31.02, 30.96, 30.62, 30.89, 31.72, 31.94, 32.02, 30.84, 31.96, 32.63, 31.47, 31.54, 31.93, 31.65, 31.09, 31.99, 31.61, 31.6, 32.48, 30.57, 31.89, 31.71, 31.51, 32.58, 31.43, 30.76, 31.18, 30.19, 30.38, 30.07, 30.91, 30.71, 30.4, 29.7, 30.03, 31.09, 31.42, 30.84, 29.97, 31.04, 31.19, 30.76, 31.67, 30.31, 31.8, 31.55, 31.99, 31.37, 32.63, 31.23, 30.98, 31.97, 31.55, 31.12, 31.51, 30.9, 30.5, 32.4, 31.97, 31.55, 32.06, 30.77, 32.02, 31.57, 31.06, 31.73, 32.41, 31.88, 32.25, 31.59, 32.29, 32.45, 31.34, 32.45, 32.45, 31.04, 31.73, 31.52, 31.36, 32.59, 31.57, 31.58, 31.18, 31.67, 31.28, 32.08, 31.49, 31.07, 32.48, 32.51, 31.67, 31.45, 31.53, 30.92, 31.16, 31.7, 32.06, 30.95, 31.0, 31.97, 32.19, 32.22, 32.51, 31.67, 30.89, 31.06, 30.94, 30.49, 31.82, 32.1, 31.68, 31.66, 32.39, 32.27, 31.74, 31.28, 31.82, 32.33, 31.13, 32.3, 32.15, 31.13, 31.42, 32.2, 32.62, 31.17, 32.17, 32.25, 32.23, 31.49, 31.42, 31.29, 31.78, 31.84, 31.85, 31.73, 31.97, 30.56, 31.89, 31.77, 32.07, 31.23, 32.72]]
[160, [30.18, 32.14, 30.53, 30.25, 30.94, 30.43, 32.31, 31.05, 31.49, 31.59, 31.44, 31.88, 30.53, 31.74, 30.07, 30.66, 30.7, 31.68, 31.94, 31.18, 30.17, 31.98, 30.23, 32.48, 33.18, 31.17, 30.97, 32.1, 30.68, 31.48, 29.69, 29.89, 29.46, 31.79, 30.98, 31.17, 30.09, 31.29, 29.71, 31.52, 31.23, 31.64, 31.9, 30.69, 31.85, 30.58, 32.2, 31.23, 31.83, 31.66, 32.47, 31.85, 31.82, 32.26, 30.25, 31.22, 32.26, 30.31, 29.58, 32.28, 30.84, 31.65, 31.58, 31.23, 32.43, 31.32, 31.93, 31.72, 31.78, 32.71, 31.81, 31.69, 31.83, 31.51, 31.84, 31.45, 31.58, 31.48, 32.2, 30.88, 31.82, 32.46, 32.53, 32.14, 30.47, 31.38, 31.17, 29.89, 31.12, 30.14, 31.44, 29.75, 29.86, 31.22, 30.15, 31.2, 30.41, 31.82, 30.98, 31.5, 31.59, 31.89, 32.89, 32.12, 31.68, 32.13, 31.78, 31.94, 33.2, 31.99, 31.67, 31.14, 30.89, 31.67, 31.38, 32.51, 32.34, 32.52, 32.16, 32.17, 32.1, 32.26, 32.04, 30.71, 32.33, 31.54, 32.34, 32.25, 32.12, 31.47, 33.08, 33.32, 32.77, 31.79, 31.33, 31.63, 31.64, 31.22, 31.16, 32.03, 32.43, 31.78, 32.25, 32.71, 32.83, 32.0, 30.36, 32.46, 32.68, 30.99, 31.74, 31.85, 31.33, 32.82, 31.98, 32.15, 32.88, 32.03, 32.57, 30.34, 31.47, 32.43, 30.36, 33.07, 30.74, 31.66, 32.04, 32.13, 32.28, 32.86, 31.16, 31.33, 32.17, 32.7, 33.0, 30.28, 31.99, 31.34, 32.53, 32.1, 31.7, 31.56, 32.36, 31.91, 31.69, 32.22, 31.98, 30.88, 32.26, 32.22, 31.77, 32.32, 31.04, 33.06, 31.71, 30.72, 31.92, 31.96, 32.04, 31.74, 30.81]]
[210, [30.73, 33.5, 30.63, 29.53, 30.53, 30.5, 31.36, 30.03, 30.95, 32.01, 31.64, 31.65, 30.15, 31.42, 30.84, 30.91, 31.17, 30.81, 30.9, 29.74, 30.68, 32.5, 31.8, 32.18, 31.8, 32.45, 30.54, 32.71, 30.64, 31.58, 31.47, 30.92, 30.94, 32.29, 30.46, 31.52, 30.85, 31.29, 29.53, 30.24, 30.91, 31.41, 31.95, 31.19, 31.61, 31.54, 32.15, 31.92, 31.35, 31.9, 31.82, 30.92, 31.42, 32.34, 31.39, 31.95, 31.27, 30.49, 30.23, 31.98, 30.68, 31.2, 32.57, 32.17, 31.96, 31.84, 31.0, 30.85, 31.37, 32.06, 31.37, 32.03, 32.17, 32.24, 30.71, 32.1, 30.92, 32.5, 31.92, 32.01, 32.0, 32.15, 31.16, 31.95, 30.6, 29.64, 30.89, 30.88, 30.81, 30.61, 30.7, 30.52, 31.08, 30.56, 30.41, 30.74, 31.25, 31.41, 30.49, 32.23, 30.6, 32.02, 31.2, 31.77, 30.56, 32.18, 32.81, 31.61, 32.21, 31.32, 32.44, 31.74, 30.93, 32.34, 31.96, 32.09, 32.91, 33.14, 32.57, 31.66, 32.28, 32.71, 31.64, 31.55, 31.86, 31.94, 32.1, 31.26, 31.48, 30.6, 32.41, 32.14, 30.94, 32.54, 31.48, 31.89, 30.73, 31.65, 31.74, 31.85, 31.99, 31.65, 31.86, 32.17, 32.41, 31.83, 31.66, 31.67, 32.45, 32.02, 31.71, 31.54, 30.76, 32.52, 31.42, 31.89, 32.45, 32.48, 31.61, 30.77, 31.7, 31.7, 30.23, 31.42, 31.31, 30.58, 31.7, 31.17, 31.47, 31.11, 31.83, 31.54, 32.97, 33.3, 33.14, 30.76, 32.17, 32.69, 32.06, 31.79, 30.83, 32.49, 31.18, 31.44, 31.52, 31.67, 32.69, 31.97, 32.06, 32.85, 31.36, 31.55, 31.96, 32.77, 32.4, 31.47, 31.64, 31.17, 31.94, 32.46, 30.49]]
[260, [29.85, 32.93, 30.94, 30.14, 30.67, 29.12, 31.69, 30.76, 31.36, 32.2, 30.22, 31.16, 30.84, 30.62, 31.17, 31.19, 31.79, 32.16, 31.34, 31.42, 31.04, 31.8, 31.55, 32.04, 32.35, 31.56, 31.19, 32.45, 30.95, 30.64, 29.78, 30.82, 30.51, 31.12, 30.66, 31.08, 30.67, 31.04, 30.15, 31.44, 30.31, 31.09, 31.7, 30.22, 31.03, 31.32, 31.64, 32.08, 30.73, 32.33, 32.02, 31.33, 31.65, 32.21, 31.17, 31.5, 31.78, 29.9, 30.4, 32.5, 29.9, 31.47, 32.9, 31.7, 32.82, 31.56, 31.48, 31.45, 31.62, 32.41, 31.89, 31.52, 32.76, 31.91, 31.31, 31.09, 31.17, 32.1, 31.56, 31.5, 31.35, 33.21, 32.16, 31.27, 31.32, 30.65, 31.54, 30.98, 30.35, 30.35, 29.99, 30.36, 30.73, 31.53, 30.47, 31.55, 30.19, 30.85, 30.6, 31.27, 31.11, 32.87, 32.55, 32.86, 31.06, 31.98, 33.12, 31.6, 32.93, 31.89, 31.98, 31.34, 30.41, 31.81, 31.67, 32.2, 32.09, 32.41, 31.59, 32.6, 32.15, 32.0, 32.69, 31.2, 32.86, 31.36, 33.25, 31.83, 31.83, 31.08, 32.17, 32.46, 32.41, 32.96, 30.57, 30.84, 31.58, 31.42, 32.18, 30.94, 32.9, 32.55, 32.44, 32.83, 32.04, 32.29, 31.75, 32.98, 31.76, 31.6, 31.39, 32.45, 31.46, 32.03, 31.97, 32.33, 33.03, 32.19, 32.07, 30.9, 30.87, 32.21, 30.43, 32.23, 31.6, 31.4, 31.88, 30.96, 32.68, 32.44, 31.76, 32.13, 32.45, 31.82, 32.59, 30.97, 31.77, 31.85, 33.18, 31.28, 31.09, 32.1, 32.07, 32.19, 30.87, 32.57, 31.79, 31.7, 32.58, 31.75, 32.06, 32.12, 32.01, 32.57, 31.21, 31.41, 32.08, 31.49, 32.89, 31.53, 31.04]]
[310, [29.18, 29.99, 29.75, 29.6, 30.37, 30.47, 31.08, 30.64, 30.57, 31.32, 30.5, 30.27, 31.08, 30.39, 31.58, 31.32, 31.74, 31.53, 30.67, 31.78, 30.77, 30.7, 31.74, 32.6, 31.83, 32.34, 31.0, 30.59, 30.24, 29.78, 34.3, 31.82, 30.93, 30.55, 29.65, 30.31, 29.91, 30.83, 28.83, 32.03, 31.19, 30.19, 29.91, 31.16, 30.74, 30.69, 30.83, 30.98, 31.18, 31.49, 32.08, 31.98, 31.49, 31.47, 31.92, 31.97, 30.31, 31.54, 31.01, 30.43, 30.72, 30.12, 31.12, 31.25, 30.67, 31.8, 31.49, 31.37, 31.7, 31.07, 32.41, 32.83, 32.32, 32.07, 31.42, 31.41, 31.71, 31.98, 31.96, 32.16, 32.31, 31.92, 31.34, 31.9, 31.04, 30.06, 30.67, 30.75, 31.56, 30.6, 30.47, 30.31, 30.66, 31.28, 30.56, 30.31, 30.71, 30.42, 31.93, 31.15, 31.87, 31.86, 30.23, 30.03, 31.09, 30.6, 31.3, 31.24, 30.92, 31.54, 31.28, 30.94, 30.09, 30.6, 31.68, 30.95, 31.98, 30.54, 31.43, 30.69, 30.72, 31.26, 32.38, 31.42, 32.49, 30.93, 31.56, 32.14, 31.44, 31.29, 31.15, 31.29, 31.41, 32.22, 31.35, 31.83, 31.73, 31.19, 32.29, 31.38, 31.13, 31.18, 30.88, 31.55, 30.84, 31.32, 31.23, 31.0, 30.65, 30.74, 32.7, 31.32, 31.4, 30.6, 31.54, 32.18, 32.5, 32.19, 31.37, 31.16, 31.96, 31.76, 30.62, 31.59, 31.84, 31.21, 31.75, 31.3, 30.92, 31.23, 31.35, 30.71, 31.39, 32.1, 30.61, 31.46, 31.95, 32.37, 31.62, 31.72, 31.37, 31.22, 31.89, 31.16, 31.98, 31.96, 31.85, 31.8, 31.9, 31.92, 31.96, 32.61, 31.99, 31.72, 30.85, 31.37, 30.94, 31.08, 31.32, 31.84, 31.53]]
[360, [29.62, 32.85, 30.97, 30.72, 29.71, 29.46, 31.76, 30.08, 31.28, 31.19, 31.7, 30.57, 31.23, 30.84, 32.41, 31.73, 31.5, 31.24, 31.39, 30.85, 31.2, 30.95, 32.67, 31.19, 32.55, 31.77, 31.85, 31.64, 30.34, 31.14, 39.19, 31.63, 30.88, 31.03, 30.48, 31.69, 30.46, 30.29, 29.48, 30.85, 30.6, 29.68, 29.55, 30.12, 31.18, 31.0, 32.38, 31.44, 30.9, 31.74, 32.4, 31.75, 31.23, 31.71, 30.74, 31.78, 30.64, 32.03, 30.32, 30.83, 30.3, 30.45, 30.87, 31.93, 33.17, 31.19, 31.07, 30.93, 30.8, 32.14, 31.86, 31.25, 31.43, 32.48, 31.68, 30.84, 31.24, 30.91, 31.15, 32.22, 32.99, 32.98, 31.88, 31.58, 30.99, 30.18, 30.19, 31.24, 31.83, 30.38, 30.82, 29.96, 31.04, 30.83, 30.78, 30.79, 30.97, 32.09, 31.54, 31.84, 31.29, 32.62, 32.73, 32.44, 31.47, 31.63, 30.88, 31.94, 32.49, 31.63, 31.28, 30.69, 31.56, 32.2, 30.72, 32.58, 31.63, 32.78, 31.77, 31.49, 31.18, 32.45, 32.26, 31.65, 32.99, 30.77, 32.96, 31.58, 30.56, 31.81, 32.02, 31.78, 31.74, 31.6, 31.83, 31.5, 31.4, 30.72, 32.09, 31.51, 32.68, 30.11, 31.24, 31.35, 31.24, 32.06, 30.86, 31.95, 32.2, 31.93, 29.74, 31.18, 32.09, 32.33, 31.75, 31.68, 31.9, 31.42, 32.31, 29.99, 30.97, 31.11, 30.63, 32.73, 30.94, 31.08, 30.67, 31.65, 31.83, 32.67, 30.88, 31.78, 31.63, 32.33, 31.88, 31.68, 31.28, 32.08, 31.13, 31.0, 32.03, 30.41, 31.56, 32.3, 32.03, 33.04, 32.24, 31.43, 31.66, 32.79, 31.46, 32.38, 32.41, 31.0, 31.87, 30.97, 31.09, 31.68, 32.82, 31.67, 30.84]]
[410, [30.37, 30.38, 30.04, 30.28, 29.89, 30.06, 30.58, 29.58, 30.45, 31.04, 31.13, 30.39, 30.62, 30.13, 31.1, 30.79, 32.06, 31.81, 30.34, 31.26, 30.62, 30.95, 30.97, 31.96, 32.31, 31.48, 31.4, 31.06, 29.92, 30.1, 40.49, 30.1, 30.57, 29.77, 30.45, 30.09, 30.48, 31.3, 29.28, 31.93, 29.99, 30.87, 30.97, 30.74, 31.11, 30.01, 30.4, 31.33, 30.49, 30.28, 30.12, 30.99, 31.34, 31.12, 32.44, 31.9, 29.78, 30.5, 29.53, 30.14, 31.04, 29.68, 30.45, 31.55, 30.91, 31.36, 30.71, 31.74, 32.34, 32.05, 30.84, 32.08, 31.86, 31.64, 31.18, 31.9, 31.16, 32.69, 32.79, 31.83, 31.8, 31.46, 30.85, 31.04, 30.68, 29.63, 30.93, 31.29, 30.64, 29.35, 30.78, 29.99, 31.13, 30.66, 30.1, 29.94, 31.13, 30.8, 31.01, 31.96, 32.77, 31.28, 31.36, 30.31, 31.5, 31.01, 31.69, 31.44, 31.22, 31.84, 31.62, 30.35, 30.71, 31.67, 30.51, 31.01, 31.03, 31.96, 32.12, 31.06, 32.67, 29.98, 30.74, 32.48, 31.11, 30.74, 30.82, 30.77, 31.82, 30.47, 31.1, 31.43, 32.18, 31.15, 31.79, 32.03, 31.45, 30.73, 31.61, 31.3, 31.25, 31.56, 31.65, 31.4, 31.16, 31.15, 32.41, 31.76, 30.87, 30.89, 30.62, 31.41, 31.67, 31.35, 32.19, 29.9, 31.5, 31.25, 30.69, 31.24, 31.6, 31.57, 30.99, 31.85, 31.68, 30.85, 31.5, 31.46, 31.34, 31.67, 31.05, 31.61, 32.35, 31.93, 31.97, 31.73, 32.37, 31.57, 31.31, 31.91, 32.56, 31.28, 31.58, 32.26, 31.61, 32.51, 31.8, 30.74, 30.61, 31.35, 31.35, 31.62, 31.33, 30.72, 32.44, 31.34, 30.36, 30.33, 29.9, 30.04]]
[460, [30.24, 32.65, 29.53, 30.06, 30.17, 30.76, 29.9, 30.34, 31.1, 30.77, 30.91, 29.65, 31.45, 29.96, 31.98, 31.85, 31.19, 31.11, 30.1, 30.5, 31.54, 30.4, 32.29, 32.44, 31.39, 32.4, 30.65, 31.62, 30.12, 30.81, 35.42, 31.12, 31.51, 31.21, 30.1, 29.83, 30.28, 31.68, 29.24, 30.63, 31.56, 30.81, 29.79, 30.62, 30.42, 30.4, 32.68, 31.75, 31.47, 30.72, 31.56, 31.36, 30.84, 31.68, 31.58, 30.83, 31.19, 31.07, 30.76, 31.19, 31.04, 30.46, 31.57, 31.0, 31.64, 30.84, 31.38, 30.57, 32.45, 31.58, 32.85, 32.57, 32.84, 31.39, 31.82, 31.12, 31.67, 32.36, 32.27, 31.49, 32.7, 31.02, 31.57, 32.04, 29.93, 30.92, 31.46, 30.29, 31.1, 29.9, 31.08, 30.1, 30.2, 31.46, 29.56, 31.71, 30.65, 30.1, 32.26, 31.56, 32.28, 32.3, 30.74, 30.68, 31.95, 31.31, 31.34, 31.5, 30.95, 30.56, 32.25, 31.55, 31.11, 31.29, 31.26, 32.1, 32.39, 32.02, 30.98, 32.2, 30.44, 31.72, 31.83, 31.92, 31.82, 31.44, 31.28, 31.79, 30.87, 31.36, 31.7, 32.13, 32.11, 32.36, 32.03, 32.24, 31.17, 31.05, 32.65, 32.24, 30.78, 32.17, 31.66, 30.8, 31.67, 30.88, 31.01, 32.77, 32.85, 31.53, 32.11, 30.89, 31.81, 31.25, 30.98, 31.99, 32.29, 32.01, 31.72, 30.3, 31.69, 30.81, 30.92, 30.94, 31.33, 31.96, 31.53, 32.21, 31.28, 31.73, 31.7, 31.25, 30.87, 30.34, 31.31, 31.75, 32.61, 31.2, 31.61, 31.38, 31.85, 31.88, 30.89, 31.65, 31.59, 31.58, 31.09, 31.92, 31.28, 32.93, 31.13, 31.92, 32.16, 31.47, 31.59, 31.76, 31.78, 32.12, 32.23, 31.25, 30.4]]
