[10, [40.38, 30.74, 30.82, 31.14, 31.44, 30.48, 30.15, 32.44, 30.42, 32.51, 30.53, 31.4, 32.52, 31.74, 32.75, 31.59, 32.39, 30.79, 31.18, 32.78, 30.8, 31.05, 31.29, 31.6, 31.31, 32.54, 32.1, 31.27, 32.83, 32.59, 33.11, 32.15, 30.95, 29.73, 32.3, 31.85, 32.61, 31.38, 31.39, 31.71, 33.07, 30.97, 32.1, 30.51, 31.81, 32.17, 32.03, 30.14, 31.77, 31.68, 32.79, 32.49, 31.71, 32.4, 32.23, 30.99, 32.02, 32.8, 31.03, 32.18, 31.42, 30.92, 32.78, 32.07, 33.85, 31.0, 29.85, 31.5, 29.97, 33.13, 29.5, 31.96, 31.72, 31.01, 32.72, 30.7, 33.16, 33.18, 31.7, 31.48, 31.77, 31.69, 32.92, 30.96, 31.49, 32.61, 32.65, 31.84, 32.81, 31.2, 32.65, 31.08, 32.2, 32.25, 32.37, 30.99, 31.22, 30.8, 30.86, 32.44, 30.82, 33.87, 32.01, 32.23, 30.97, 32.36, 32.28, 33.77, 32.38, 33.57, 32.15, 33.54, 33.0, 32.92, 32.07, 31.56, 31.6, 32.88, 32.86, 31.84, 30.52, 32.03, 32.69, 31.98, 33.05, 32.01, 31.89, 30.16, 31.7, 31.52, 32.43, 31.23, 31.35, 32.27, 31.17, 32.48, 32.32, 32.11, 30.94, 30.54, 31.01, 31.04, 31.04, 30.9, 31.1, 31.78, 31.7, 32.82, 29.15, 30.41, 33.06, 33.07, 32.98, 31.68, 32.44, 33.31, 31.71, 32.7, 30.5, 32.0, 31.74, 30.84, 32.27, 31.94, 32.55, 32.65, 32.36, 31.38, 32.34, 32.38, 31.96, 30.44, 31.63, 32.02, 33.01, 31.59, 31.65, 31.71, 32.6, 31.07, 30.88, 30.36, 31.66, 32.01, 30.53, 30.64, 32.06, 31.38, 32.42, 31.21, 32.68, 31.29, 30.82, 30.67, 33.54, 33.5, 32.87, 32.48, 33.4, 32.65, 29.61]]
[35, [75.97, 30.8, 30.11, 30.2, 30.55, 31.29, 32.25, 31.25, 29.85, 31.99, 31.6, 32.93, 31.5, 33.42, 32.24, 32.58, 29.71, 32.19, 31.5, 31.59, 31.71, 31.78, 32.1, 31.89, 31.32, 31.07, 32.05, 31.37, 30.6, 32.54, 30.54, 31.41, 31.87, 30.49, 30.02, 31.63, 32.14, 32.03, 31.18, 31.88, 32.18, 31.76, 31.59, 30.59, 31.36, 34.02, 32.75, 31.0, 32.23, 32.45, 33.79, 32.6, 31.82, 32.63, 32.26, 32.0, 32.44, 32.53, 32.91, 31.84, 32.21, 31.56, 32.23, 32.36, 31.77, 31.75, 30.46, 33.0, 31.68, 32.28, 31.14, 31.9, 30.61, 31.15, 32.3, 32.51, 32.57, 31.62, 31.69, 30.88, 31.39, 30.34, 31.47, 31.69, 31.7, 31.35, 31.47, 32.6, 32.0, 31.84, 32.58, 31.72, 31.8, 31.82, 32.72, 31.91, 33.39, 32.68, 31.86, 31.61, 33.95, 32.27, 31.75, 32.42, 32.65, 31.62, 31.82, 31.75, 31.81, 32.1, 32.01, 31.76, 31.69, 32.7, 31.96, 32.03, 30.7, 31.59, 31.12, 32.91, 30.64, 31.06, 29.97, 31.41, 31.7, 31.46, 32.11, 32.23, 32.05, 32.01, 32.07, 32.04, 32.34, 31.86, 31.66, 31.85, 32.84, 33.24, 31.42, 30.91, 31.61, 31.03, 31.34, 30.92, 29.81, 30.48, 30.74, 31.33, 30.85, 30.94, 32.32, 32.15, 31.56, 32.21, 31.13, 31.27, 30.73, 29.87, 31.29, 31.61, 32.33, 31.37, 31.89, 32.26, 32.3, 32.64, 32.3, 32.25, 31.62, 31.3, 32.0, 33.04, 32.26, 32.65, 32.42, 31.16, 32.24, 30.45, 31.55, 31.4, 32.71, 31.24, 31.83, 32.02, 31.79, 31.85, 33.08, 31.91, 33.23, 31.65, 32.71, 32.68, 32.22, 31.38, 31.97, 31.48, 32.02, 31.35, 29.0, 29.73]]
[60, [45.46, 31.93, 30.98, 30.37, 38.07, 33.16, 31.8, 31.09, 32.63, 32.79, 32.27, 30.46, 32.0, 32.33, 31.42, 31.49, 30.27, 32.9, 30.68, 30.79, 32.64, 33.03, 31.52, 33.73, 32.08, 31.79, 33.58, 33.26, 34.18, 32.76, 33.44, 31.87, 30.36, 29.81, 30.7, 31.95, 31.71, 33.37, 31.54, 32.48, 32.55, 31.32, 33.11, 32.96, 32.0, 31.03, 33.28, 30.36, 33.74, 31.43, 31.52, 31.96, 31.14, 31.39, 31.24, 32.74, 33.21, 30.91, 31.97, 33.28, 32.41, 32.43, 33.16, 31.84, 33.05, 31.06, 31.23, 32.28, 33.39, 32.05, 32.43, 30.7, 34.68, 33.24, 33.87, 31.49, 32.52, 34.24, 33.39, 32.84, 31.94, 32.77, 32.04, 33.94, 32.95, 33.54, 34.21, 33.97, 30.82, 31.98, 32.78, 32.77, 31.25, 31.38, 32.62, 32.4, 33.53, 32.37, 33.17, 31.09, 30.77, 32.87, 31.81, 32.86, 32.83, 31.95, 31.81, 32.0, 32.21, 33.73, 31.9, 31.79, 33.53, 32.95, 31.68, 33.58, 31.48, 32.02, 32.73, 32.58, 31.24, 33.28, 32.25, 33.5, 33.62, 31.71, 30.49, 30.92, 33.93, 30.93, 33.24, 31.99, 31.06, 32.31, 33.67, 31.66, 32.27, 30.93, 33.43, 33.28, 33.44, 31.92, 31.66, 33.11, 31.57, 32.15, 31.85, 30.61, 30.26, 30.65, 33.18, 33.94, 31.68, 31.6, 31.28, 32.27, 31.65, 32.47, 32.49, 32.22, 34.07, 31.11, 32.98, 31.29, 33.69, 31.78, 31.21, 32.11, 32.74, 31.45, 33.33, 31.76, 31.73, 33.25, 31.15, 32.24, 33.36, 31.7, 30.84, 31.89, 32.05, 30.39, 31.91, 32.09, 31.88, 32.13, 31.69, 31.45, 31.55, 31.94, 31.36, 31.43, 33.43, 31.56, 32.56, 33.13, 32.35, 32.5, 30.71, 30.82, 32.45]]
[85, [39.31, 31.1, 31.6, 32.53, 30.75, 31.01, 30.0, 31.03, 31.93, 30.97, 31.71, 32.71, 31.42, 32.98, 31.37, 33.17, 31.01, 32.33, 32.36, 31.23, 32.07, 32.24, 33.11, 33.51, 32.62, 31.19, 32.73, 32.38, 32.04, 32.13, 31.42, 31.15, 32.23, 30.44, 31.62, 31.4, 31.36, 32.99, 30.69, 32.22, 32.11, 31.54, 32.53, 31.69, 30.47, 31.15, 31.47, 30.76, 32.0, 32.65, 31.66, 31.14, 31.01, 31.21, 31.72, 33.11, 31.77, 31.63, 32.5, 30.91, 32.99, 34.42, 31.5, 31.64, 32.12, 30.23, 30.42, 32.69, 30.78, 31.96, 30.13, 33.14, 31.99, 32.19, 31.62, 32.13, 31.9, 31.55, 33.02, 32.88, 33.14, 31.99, 31.57, 31.34, 32.69, 31.59, 31.48, 32.11, 31.08, 32.49, 31.15, 32.81, 30.92, 30.89, 30.87, 32.35, 32.48, 31.97, 32.22, 33.79, 31.95, 32.42, 30.82, 30.9, 32.29, 33.6, 33.3, 32.42, 32.7, 32.07, 33.45, 32.11, 31.81, 31.53, 33.66, 33.29, 33.0, 31.4, 31.59, 33.35, 31.35, 31.44, 31.39, 31.44, 31.49, 31.68, 31.65, 30.79, 32.14, 32.7, 31.27, 32.68, 32.78, 31.05, 32.34, 31.01, 30.8, 30.76, 32.25, 31.88, 32.37, 30.63, 30.54, 32.3, 32.77, 33.28, 33.01, 31.32, 30.27, 31.16, 31.94, 31.77, 31.89, 32.79, 31.21, 31.67, 32.71, 31.16, 31.99, 30.48, 33.18, 30.19, 30.7, 33.4, 31.48, 31.55, 31.15, 32.64, 31.88, 31.38, 33.35, 31.7, 31.86, 31.54, 31.59, 32.76, 32.61, 33.09, 31.19, 32.48, 32.3, 29.67, 32.83, 33.26, 31.68, 31.61, 33.23, 32.72, 31.45, 32.32, 31.33, 32.5, 32.76, 32.3, 32.42, 32.34, 31.57, 30.96, 31.89, 31.26, 30.18]]
[110, [61.78, 31.21, 30.15, 30.05, 31.64, 30.56, 32.83, 32.7, 30.34, 32.85, 31.4, 31.64, 31.23, 32.79, 30.93, 30.74, 30.34, 31.94, 31.26, 31.24, 32.03, 31.96, 31.08, 31.03, 31.25, 31.31, 34.04, 31.0, 30.52, 31.08, 30.77, 31.31, 31.07, 30.4, 30.14, 31.11, 31.02, 30.88, 32.07, 45.35, 31.26, 31.21, 31.22, 30.79, 32.02, 32.68, 32.23, 31.89, 32.59, 32.42, 32.68, 32.18, 32.15, 33.34, 33.88, 32.57, 32.32, 32.4, 32.55, 32.05, 32.99, 31.37, 32.44, 32.99, 31.89, 31.03, 30.65, 32.46, 32.03, 32.06, 32.16, 31.71, 30.9, 31.42, 30.88, 31.35, 31.64, 31.7, 32.06, 31.11, 31.72, 32.1, 32.04, 31.5, 31.54, 31.57, 31.67, 31.48, 32.19, 32.46, 31.94, 33.06, 31.82, 32.43, 31.89, 32.81, 33.6, 32.03, 32.61, 31.95, 33.79, 32.73, 32.42, 31.86, 31.75, 32.09, 32.16, 31.54, 32.12, 31.84, 32.39, 31.42, 31.05, 31.61, 31.56, 33.28, 32.73, 31.95, 32.09, 31.62, 30.33, 31.69, 31.7, 31.64, 31.15, 30.95, 30.26, 30.34, 32.28, 32.09, 32.23, 32.42, 31.75, 31.69, 31.87, 31.82, 31.35, 31.9, 31.86, 31.31, 31.67, 32.1, 31.38, 31.51, 31.72, 31.1, 31.63, 31.23, 30.01, 30.16, 30.92, 31.63, 30.88, 31.44, 30.84, 31.01, 32.06, 30.9, 31.38, 31.51, 31.04, 30.76, 31.51, 30.3, 31.39, 31.15, 31.71, 31.12, 31.31, 31.9, 31.15, 31.28, 32.63, 31.57, 32.29, 32.13, 31.04, 32.61, 32.93, 32.3, 33.31, 30.71, 32.35, 31.77, 31.52, 31.7, 31.07, 30.91, 33.17, 31.88, 32.11, 32.22, 31.99, 32.71, 31.49, 31.62, 30.87, 31.68, 32.33, 31.71, 33.32]]
[135, [51.6, 30.67, 30.32, 30.95, 29.74, 30.52, 31.78, 31.19, 29.64, 31.33, 31.36, 30.53, 31.18, 30.82, 30.79, 30.78, 30.54, 31.62, 31.01, 30.4, 31.93, 31.84, 31.2, 30.92, 30.44, 31.58, 30.71, 31.75, 32.17, 31.15, 31.88, 31.28, 29.99, 30.69, 29.9, 30.63, 30.85, 30.52, 31.71, 31.05, 31.44, 31.52, 30.36, 30.21, 30.95, 32.29, 31.48, 30.03, 30.83, 32.81, 32.27, 31.25, 32.29, 31.95, 32.12, 31.67, 32.29, 32.21, 31.83, 31.66, 32.15, 31.76, 32.14, 32.26, 31.75, 30.54, 30.51, 31.94, 31.6, 31.81, 30.74, 32.0, 31.32, 31.88, 31.32, 31.64, 30.99, 31.26, 30.7, 30.77, 31.14, 31.41, 31.27, 30.83, 30.67, 32.42, 30.63, 30.74, 31.63, 32.07, 32.0, 31.96, 31.51, 31.85, 31.72, 31.78, 31.83, 31.74, 31.55, 31.8, 31.96, 31.74, 32.91, 31.88, 31.99, 31.63, 31.64, 31.87, 31.74, 31.86, 31.9, 31.16, 31.27, 30.83, 31.25, 32.55, 31.72, 31.35, 31.65, 31.04, 29.91, 32.72, 31.67, 32.64, 31.35, 30.64, 30.75, 30.16, 32.02, 32.0, 33.13, 32.87, 31.71, 32.01, 31.74, 31.63, 30.38, 31.98, 30.35, 31.6, 30.18, 31.05, 32.17, 31.02, 29.75, 29.74, 31.09, 30.99, 30.87, 31.08, 31.93, 31.03, 31.82, 31.12, 31.08, 31.07, 30.82, 29.56, 31.34, 30.78, 32.26, 30.6, 31.53, 30.93, 31.22, 32.01, 34.08, 31.14, 32.64, 30.82, 32.13, 31.23, 30.54, 31.1, 31.81, 30.88, 31.46, 30.34, 30.91, 31.32, 31.3, 31.57, 31.21, 30.52, 32.23, 31.86, 31.95, 32.07, 31.47, 31.71, 31.66, 31.46, 30.75, 32.16, 31.81, 31.66, 30.09, 28.96, 29.74, 30.11]]
[160, [102.07, 29.76, 29.61, 31.5, 31.14, 30.99, 31.93, 31.79, 29.79, 32.6, 31.09, 31.09, 30.83, 31.23, 31.37, 31.3, 30.35, 31.7, 32.12, 30.14, 31.65, 31.66, 30.77, 30.3, 31.67, 31.01, 30.36, 32.1, 30.71, 30.93, 31.31, 31.54, 30.74, 29.08, 29.86, 31.04, 31.11, 31.5, 31.71, 31.05, 30.67, 31.36, 45.21, 31.06, 30.54, 31.35, 30.38, 30.47, 31.28, 31.33, 31.0, 30.88, 30.68, 32.25, 31.98, 30.89, 31.75, 31.79, 32.02, 30.7, 31.95, 30.99, 30.8, 31.91, 30.47, 29.34, 30.59, 31.71, 31.78, 31.38, 30.71, 31.6, 31.14, 31.2, 30.56, 31.12, 31.19, 30.98, 30.93, 31.3, 31.29, 31.23, 30.9, 31.29, 31.11, 31.01, 31.02, 30.99, 31.33, 30.82, 31.75, 32.32, 31.72, 32.11, 32.49, 32.12, 32.01, 32.26, 32.25, 32.21, 31.9, 31.82, 32.18, 31.95, 31.71, 31.53, 31.67, 31.46, 31.9, 31.6, 31.28, 31.0, 31.51, 31.56, 31.57, 31.1, 31.11, 31.51, 31.6, 31.33, 31.12, 32.18, 32.22, 31.6, 31.68, 30.95, 30.36, 30.44, 31.43, 31.78, 30.94, 32.23, 31.18, 31.23, 31.13, 31.02, 31.25, 31.37, 31.22, 30.87, 31.16, 30.62, 30.57, 32.23, 30.61, 31.44, 30.84, 30.88, 29.0, 29.28, 30.34, 30.79, 30.83, 30.84, 31.55, 31.8, 31.35, 30.7, 31.56, 31.56, 31.9, 29.71, 30.48, 32.81, 31.58, 31.46, 31.02, 30.99, 32.09, 30.53, 30.41, 31.88, 30.83, 30.61, 31.64, 31.07, 31.62, 30.57, 31.53, 30.87, 31.73, 29.22, 31.46, 31.53, 31.51, 31.74, 31.16, 31.23, 31.5, 31.53, 30.6, 30.69, 32.15, 32.11, 30.97, 30.68, 31.94, 31.63, 31.47, 30.91, 30.1]]
[185, [51.04, 30.38, 31.66, 30.28, 38.23, 31.81, 33.12, 32.47, 30.48, 31.13, 32.86, 30.78, 34.34, 31.04, 31.67, 32.77, 30.94, 31.4, 32.56, 33.32, 32.52, 31.14, 30.07, 32.56, 33.13, 34.58, 32.06, 30.74, 32.93, 33.82, 34.57, 30.74, 32.51, 30.65, 30.31, 31.73, 33.69, 33.14, 33.63, 32.01, 32.5, 32.74, 32.94, 34.43, 32.26, 32.43, 30.9, 32.88, 31.61, 31.27, 31.24, 33.29, 32.94, 31.09, 31.04, 32.95, 31.05, 31.86, 33.07, 31.72, 33.1, 30.98, 32.52, 32.91, 31.24, 30.48, 30.13, 32.14, 30.89, 30.64, 31.37, 31.03, 32.19, 32.1, 32.66, 32.78, 33.26, 32.34, 32.07, 32.66, 34.18, 33.91, 33.95, 32.04, 34.04, 34.35, 31.93, 31.92, 32.7, 33.52, 31.36, 31.72, 31.69, 31.68, 32.47, 31.28, 31.25, 31.98, 32.57, 33.19, 32.16, 33.18, 30.69, 30.89, 30.97, 34.1, 30.64, 32.15, 33.57, 31.94, 33.25, 31.62, 31.91, 32.71, 34.02, 31.54, 32.77, 30.89, 32.36, 34.64, 32.89, 32.14, 33.14, 32.56, 31.72, 33.85, 31.68, 32.94, 31.95, 33.12, 32.93, 33.76, 32.58, 33.79, 31.59, 31.78, 31.69, 32.32, 31.83, 31.92, 31.87, 33.4, 33.82, 30.55, 32.54, 33.13, 32.27, 30.71, 29.1, 31.44, 32.39, 32.09, 32.91, 31.32, 33.58, 33.73, 32.93, 31.29, 31.02, 33.52, 31.99, 30.25, 30.73, 32.21, 32.16, 32.97, 33.17, 33.53, 32.22, 31.15, 31.9, 32.9, 33.57, 31.6, 30.96, 31.1, 31.13, 32.44, 32.71, 33.77, 30.78, 30.25, 32.93, 33.97, 30.71, 31.97, 33.54, 31.75, 32.81, 31.02, 32.75, 34.29, 31.39, 32.51, 31.3, 30.86, 31.2, 30.79, 31.89, 32.06, 30.65]]
[210, [54.15, 30.05, 30.16, 30.93, 29.85, 30.63, 32.2, 30.5, 30.19, 30.8, 30.03, 31.17, 31.4, 31.2, 30.99, 31.33, 30.84, 31.16, 31.27, 31.21, 31.51, 31.09, 30.88, 30.63, 30.12, 31.61, 31.05, 31.22, 31.96, 31.48, 31.28, 31.75, 30.35, 29.72, 30.32, 31.73, 31.77, 31.6, 30.86, 31.6, 31.72, 31.74, 30.49, 31.14, 33.11, 30.8, 31.66, 29.8, 31.71, 31.77, 31.92, 30.92, 31.36, 32.09, 31.46, 30.94, 31.64, 31.59, 31.17, 31.06, 31.73, 30.92, 31.52, 31.26, 30.98, 31.27, 29.73, 31.0, 30.97, 30.68, 30.16, 30.6, 32.14, 32.29, 30.28, 31.45, 31.45, 32.09, 32.0, 31.74, 31.87, 31.95, 31.93, 31.37, 31.96, 31.85, 31.79, 31.79, 31.68, 31.62, 31.56, 31.83, 30.86, 31.36, 31.45, 31.27, 31.21, 31.2, 30.69, 31.06, 32.08, 32.01, 31.8, 32.36, 31.82, 31.07, 31.82, 31.31, 31.82, 31.06, 31.2, 31.48, 32.37, 31.31, 31.39, 31.34, 31.16, 30.85, 30.92, 31.97, 30.77, 31.27, 31.1, 31.23, 33.03, 32.1, 32.2, 29.7, 33.29, 30.68, 31.9, 31.9, 32.99, 31.81, 33.01, 32.91, 31.78, 31.81, 31.55, 31.77, 30.7, 32.96, 31.56, 31.14, 31.44, 31.83, 31.59, 32.32, 29.02, 29.06, 31.6, 31.38, 31.57, 31.36, 30.44, 31.98, 31.98, 31.24, 30.67, 30.51, 30.34, 30.1, 30.99, 31.83, 33.46, 32.12, 33.02, 31.69, 31.66, 30.97, 32.71, 30.76, 31.13, 32.09, 31.14, 31.52, 31.88, 30.51, 31.28, 31.55, 30.36, 29.64, 31.81, 30.82, 31.12, 30.69, 31.91, 31.02, 31.5, 31.64, 31.41, 31.49, 31.48, 31.34, 31.47, 31.24, 31.64, 31.68, 31.44, 31.51, 30.34]]
[235, [112.97, 31.87, 30.67, 31.68, 36.24, 33.93, 31.9, 32.45, 30.76, 31.69, 30.58, 32.56, 32.88, 33.37, 33.5, 31.99, 31.39, 32.96, 33.76, 33.4, 31.33, 31.52, 31.3, 31.63, 33.91, 31.57, 32.98, 31.04, 32.47, 32.1, 32.28, 30.93, 31.81, 29.68, 29.7, 33.88, 31.56, 31.76, 32.68, 33.93, 34.23, 31.71, 31.0, 31.68, 33.82, 33.74, 30.74, 30.78, 31.41, 33.28, 33.18, 31.52, 31.4, 33.32, 32.91, 31.5, 32.42, 32.44, 31.02, 31.41, 31.04, 32.25, 31.07, 30.87, 31.1, 31.48, 30.11, 30.95, 31.23, 32.34, 30.24, 33.11, 33.48, 34.9, 33.38, 31.73, 32.19, 31.94, 33.3, 31.74, 32.24, 31.79, 32.27, 32.54, 32.15, 32.35, 32.78, 33.08, 32.52, 31.68, 32.62, 31.58, 33.53, 33.42, 31.35, 33.5, 31.54, 31.19, 31.37, 32.35, 32.84, 31.88, 32.92, 31.17, 31.06, 32.1, 30.76, 33.74, 33.16, 32.19, 32.15, 32.93, 31.67, 31.61, 33.09, 31.9, 32.61, 32.58, 31.17, 32.49, 30.95, 34.35, 31.54, 32.27, 31.89, 31.75, 30.56, 30.97, 32.56, 32.43, 32.24, 33.36, 33.2, 31.77, 32.0, 33.81, 33.87, 32.65, 31.59, 32.13, 31.73, 31.89, 32.29, 32.19, 33.43, 31.78, 30.5, 32.69, 30.45, 31.16, 31.59, 31.95, 31.57, 30.43, 31.97, 32.26, 30.62, 31.69, 32.35, 32.39, 32.67, 31.0, 31.02, 33.28, 31.87, 33.21, 31.36, 31.84, 33.72, 33.16, 31.42, 33.07, 31.81, 31.96, 33.13, 32.66, 32.75, 30.6, 33.4, 32.07, 31.18, 31.4, 34.04, 31.88, 32.83, 30.86, 32.0, 33.39, 31.14, 32.12, 32.58, 32.8, 31.82, 31.33, 31.05, 31.95, 33.36, 32.15, 32.25, 32.35, 30.64]]
