[10, [241.45, 189.17, 235.07, 195.9, 153.67, 209.45, 172.17, 235.67, 165.01, 205.47]]
[35, [241.38, 189.33, 235.92, 195.92, 153.24, 208.77, 172.36, 234.69, 164.88, 204.06]]
[60, [241.29, 187.67, 236.02, 196.09, 152.85, 208.4, 153.79, 234.99, 165.2, 204.93]]
[85, [241.25, 188.44, 236.41, 195.7, 153.82, 209.09, 154.4, 236.39, 164.91, 204.26]]
[110, [172.37, 170.86, 144.48, 146.76, 149.83, 174.68, 221.5, 181.87, 147.69, 192.86, 170.69]]
[135, [241.35, 188.91, 236.47, 195.33, 152.13, 208.17, 154.18, 235.41, 165.35, 204.97]]
[160, [241.46, 187.98, 235.54, 196.17, 153.18, 207.44, 172.15, 236.04, 165.17, 205.58]]
[185, [187.76, 175.42, 141.25, 142.68, 164.54, 189.47, 235.21, 196.69, 152.66, 207.79, 172.29]]
[210, [173.51, 171.24, 135.26, 154.44, 149.46, 174.92, 221.03, 181.54, 147.33, 193.09, 170.44]]
[235, [164.06, 164.46, 135.56, 154.12, 149.05, 174.09, 221.34, 181.59, 138.84, 193.46, 170.97]]
[260, [204.72, 170.1, 222.24, 178.05, 204.24, 170.35, 211.86, 196.84, 138.49, 164.02, 197.67]]
[285, [204.37, 170.63, 222.57, 177.11, 204.23, 170.09, 212.25, 196.79, 136.87, 164.28, 197.25]]
[310, [197.8, 153.78, 206.21, 161.01, 188.12, 161.3, 194.87, 180.65, 139.73, 148.93, 181.13]]
[335, [188.9, 144.13, 190.32, 143.74, 171.51, 156.36, 178.69, 163.73, 144.19, 158.42, 165.04]]
[360, [174.45, 164.41, 171.47, 220.4, 168.06, 176.91, 174.04, 370.01, 173.22, 215.5, 167.04]]
[385, [172.23, 164.91, 170.9, 220.6, 167.58, 177.37, 173.54, 370.19, 181.0, 215.07, 200.81]]
[410, [158.41, 199.5, 154.83, 204.41, 151.61, 172.39, 158.32, 369.41, 173.89, 205.92, 199.41]]
[435, [168.31, 183.42, 152.09, 186.42, 170.62, 156.16, 156.76, 352.55, 157.18, 192.49, 167.62]]
[460, [168.45, 183.7, 145.46, 186.2, 170.13, 155.79, 157.03, 352.36, 157.77, 191.44, 168.46]]
[485, [168.53, 183.24, 152.56, 185.77, 170.79, 156.37, 157.31, 352.02, 157.34, 191.85, 167.47]]
[510, [153.9, 185.44, 212.38, 174.46, 222.88, 216.72, 144.14, 172.33, 202.86, 183.83, 149.41]]
[535, [140.29, 168.99, 210.21, 173.74, 206.5, 199.91, 136.31, 171.02, 200.99, 168.27, 134.18]]
[560, [141.52, 185.95, 211.98, 173.58, 222.38, 216.17, 144.67, 172.62, 202.95, 183.9, 149.0]]
[585, [138.19, 168.93, 210.63, 171.19, 206.18, 200.4, 136.57, 158.65, 200.68, 152.79, 133.81]]
[610, [165.41, 276.13, 180.7, 162.67, 195.22, 220.59, 179.3, 187.1, 177.06, 158.71, 177.79]]
[635, [149.61, 259.43, 164.44, 228.46, 179.26, 204.39, 162.53, 155.68, 146.04, 143.39, 162.71]]
[660, [144.26, 243.33, 149.64, 212.12, 163.44, 188.21, 147.03, 154.73, 130.74, 198.83, 148.07]]
[685, [143.81, 243.22, 149.2, 211.81, 163.82, 187.96, 146.64, 154.65, 131.2, 198.16, 147.65]]
[710, [144.71, 226.99, 168.13, 196.59, 156.99, 157.79, 227.97, 145.75, 155.19, 183.21, 140.35]]
[735, [139.67, 226.64, 167.29, 196.24, 156.54, 157.69, 227.43, 145.67, 154.78, 183.48, 140.51]]
[760, [188.81, 219.32, 183.49, 176.37, 290.32, 139.99, 185.71, 226.5, 187.28, 232.55, 152.65]]
[785, [183.86, 219.53, 183.09, 177.62, 290.52, 139.92, 185.87, 226.09, 187.54, 232.32, 148.19]]
[810, [172.79, 204.56, 168.27, 161.66, 275.4, 130.37, 170.9, 211.41, 172.47, 216.3, 151.13]]
[835, [147.87, 189.23, 189.69, 146.2, 260.04, 201.4, 155.5, 195.93, 157.06, 200.07, 136.64]]
[860, [230.97, 188.28, 155.51, 149.33, 136.64, 190.39, 226.59, 211.7, 145.64, 186.47, 226.66]]
[885, [225.76, 188.6, 155.92, 149.65, 142.37, 190.88, 226.31, 211.76, 145.4, 185.82, 226.41]]
[910, [206.04, 173.48, 140.42, 138.21, 128.55, 175.53, 210.66, 194.87, 135.38, 169.57, 210.43]]
[935, [194.16, 189.54, 133.54, 140.73, 154.87, 160.55, 194.18, 179.07, 137.44, 153.55, 194.09]]
[960, [192.64, 189.04, 133.06, 141.18, 155.32, 160.45, 194.57, 179.1, 137.08, 153.4, 194.32]]
