[10, [65.69, 65.83, 59.13, 58.46, 81.32, 67.89, 89.58, 54.48, 72.57, 58.12, 80.73, 55.79, 53.29, 70.69, 63.17, 82.93, 76.54, 63.58, 60.47, 79.07, 91.05, 69.82, 85.85, 72.52, 97.9, 64.68, 61.26, 68.04, 99.67, 81.16, 99.31, 84.22, 65.54, 59.55, 126.67, 71.56, 75.63, 74.61, 70.19, 79.5, 72.6, 59.53, 77.91, 72.26, 66.06, 103.02, 86.55, 68.93, 78.85, 74.33, 62.01, 73.13, 75.94, 78.57, 79.52, 57.51, 72.72, 57.67, 74.63, 60.5, 83.57, 96.97, 71.98, 76.36, 53.2, 377.85, 629.81, 577.52, 351.77, 219.14, 95.08, 70.28, 103.8, 82.6, 94.88, 71.92, 80.65, 88.52, 64.22, 65.68, 60.36, 67.8, 76.01, 79.06, 101.95, 70.0, 64.92, 71.62, 76.99, 79.08, 80.19, 70.48, 86.1, 76.25, 69.84, 65.23, 79.78, 65.68, 95.45, 77.14, 69.72]]
[30, [62.86, 66.27, 61.18, 53.15, 78.29, 82.4, 89.05, 50.24, 74.73, 61.89, 80.41, 71.66, 46.2, 61.37, 47.79, 83.4, 76.95, 69.92, 48.14, 85.32, 87.65, 69.65, 87.63, 72.25, 97.3, 64.98, 55.84, 68.34, 99.97, 80.92, 99.73, 86.86, 55.04, 59.73, 125.81, 71.36, 65.81, 63.39, 70.49, 68.99, 72.76, 74.27, 70.38, 82.4, 60.33, 96.45, 84.86, 69.37, 74.68, 66.16, 62.37, 70.78, 64.34, 73.47, 83.22, 50.87, 68.4, 62.4, 64.27, 42.82, 83.64, 82.97, 58.77, 75.64, 62.22, 378.16, 629.31, 577.08, 351.95, 209.49, 92.38, 59.8, 89.25, 67.24, 82.78, 60.7, 80.97, 87.67, 64.68, 68.2, 62.33, 68.62, 71.4, 79.78, 102.33, 70.29, 77.49, 70.95, 63.64, 72.06, 68.44, 70.48, 85.02, 76.01, 70.09, 61.66, 79.0, 66.21, 80.29, 66.5, 54.65]]
[50, [63.08, 65.52, 63.5, 52.81, 81.35, 64.68, 90.02, 62.94, 72.54, 58.37, 80.94, 71.51, 52.99, 61.66, 48.29, 83.23, 79.25, 69.15, 60.67, 85.06, 88.32, 70.33, 85.46, 68.5, 97.36, 59.64, 61.34, 67.68, 100.36, 80.15, 76.68, 84.12, 70.33, 59.08, 82.66, 71.87, 75.4, 75.3, 70.58, 79.55, 69.23, 59.45, 72.53, 81.78, 65.9, 103.34, 86.05, 73.89, 79.11, 74.15, 63.39, 70.7, 76.61, 78.52, 83.44, 61.05, 72.81, 62.17, 75.06, 56.87, 83.94, 97.53, 70.15, 76.26, 64.74, 378.13, 630.54, 576.57, 352.08, 219.78, 87.04, 72.54, 103.49, 82.79, 95.1, 72.93, 81.23, 74.81, 73.8, 65.52, 62.88, 70.08, 68.14, 79.46, 102.24, 69.53, 77.83, 70.56, 78.84, 79.24, 80.33, 75.0, 84.56, 75.84, 76.19, 65.38, 79.67, 65.23, 94.98, 80.74, 70.09]]
[70, [63.83, 65.24, 58.2, 57.99, 78.75, 82.97, 89.64, 49.84, 73.08, 61.7, 80.62, 71.81, 53.02, 70.5, 48.48, 82.28, 69.5, 69.62, 50.4, 79.48, 87.98, 70.16, 87.34, 67.94, 98.14, 59.3, 55.34, 54.72, 99.56, 80.56, 99.95, 87.16, 58.64, 59.28, 126.12, 72.04, 65.71, 63.59, 67.55, 69.22, 72.43, 74.26, 72.77, 82.09, 64.45, 91.22, 81.03, 73.74, 69.45, 66.97, 54.94, 73.5, 64.2, 65.17, 82.96, 50.25, 73.2, 57.59, 63.59, 47.25, 82.97, 82.86, 58.84, 75.88, 62.02, 378.14, 630.04, 577.11, 352.35, 209.14, 91.69, 62.65, 97.42, 70.81, 87.79, 64.42, 80.89, 88.0, 64.36, 61.19, 62.67, 68.25, 71.11, 78.97, 101.61, 69.2, 64.62, 71.38, 63.86, 78.95, 79.93, 70.72, 84.64, 75.81, 76.06, 61.89, 79.58, 66.14, 79.89, 65.18, 54.81]]
[90, [53.84, 62.25, 57.16, 52.68, 50.79, 57.5, 50.36, 54.08, 44.76, 40.81, 59.63, 42.99, 38.01, 41.61, 50.05, 53.1, 48.4, 51.8, 48.15, 60.42, 60.86, 45.58, 56.93, 52.16, 67.65, 48.1, 63.73, 53.92, 73.41, 53.74, 69.03, 59.26, 62.88, 76.89, 93.06, 44.09, 62.9, 46.64, 102.14, 50.6, 57.08, 66.34, 47.26, 76.76, 63.59, 68.29, 59.53, 50.23, 70.45, 53.83, 56.18, 54.98, 87.58, 56.94, 52.54, 39.73, 42.53, 54.33, 44.71, 43.39, 53.23, 51.78, 49.64, 45.95, 48.75, 347.46, 599.21, 546.73, 321.4, 189.02, 97.79, 52.23, 66.55, 52.54, 60.74, 49.36, 56.15, 69.22, 55.71, 55.84, 68.94, 67.71, 49.77, 63.37, 72.02, 53.07, 55.83, 62.16, 87.83, 53.66, 57.02, 53.27, 58.98, 68.59, 53.58, 47.54, 49.31, 62.39, 62.84, 53.29, 47.56]]
[110, [48.45, 61.08, 60.79, 61.11, 43.03, 44.97, 49.04, 43.04, 47.65, 44.58, 49.73, 43.28, 52.54, 43.84, 39.72, 45.12, 44.59, 42.76, 39.82, 61.75, 45.6, 44.03, 41.74, 48.25, 52.13, 38.78, 62.06, 135.92, 69.35, 69.24, 54.38, 56.88, 54.09, 60.89, 76.64, 68.5, 50.61, 51.72, 86.4, 51.62, 51.46, 66.31, 61.71, 62.0, 47.94, 58.62, 55.78, 61.11, 61.12, 68.09, 50.84, 58.26, 73.93, 54.11, 55.63, 43.26, 56.16, 42.92, 43.6, 43.96, 45.28, 120.43, 44.91, 48.71, 43.86, 331.98, 584.27, 531.94, 784.79, 173.62, 83.25, 50.86, 56.31, 45.43, 70.08, 62.34, 105.96, 73.19, 60.31, 70.59, 53.62, 55.21, 62.8, 48.97, 68.83, 52.55, 51.17, 72.52, 72.55, 52.35, 54.18, 54.92, 58.75, 59.18, 53.23, 54.33, 77.77, 55.77, 115.97, 50.54, 89.49]]
[130, [52.38, 120.76, 52.11, 45.4, 58.73, 40.94, 244.4, 41.34, 43.56, 39.71, 40.44, 42.54, 39.2, 42.33, 40.77, 43.82, 44.87, 44.69, 45.94, 55.96, 49.93, 45.16, 46.29, 43.04, 50.44, 42.6, 48.97, 120.27, 54.14, 43.56, 49.88, 126.48, 68.88, 117.52, 61.06, 53.52, 75.1, 67.24, 70.53, 46.14, 80.79, 56.78, 50.54, 55.92, 44.53, 65.76, 54.85, 50.99, 52.43, 53.14, 56.47, 50.31, 58.53, 55.25, 44.07, 42.19, 42.64, 50.1, 74.78, 46.1, 41.58, 106.85, 39.4, 41.57, 39.7, 316.92, 569.01, 516.63, 769.39, 162.68, 79.34, 44.33, 71.99, 57.3, 56.15, 97.04, 90.6, 59.44, 67.76, 67.58, 44.19, 49.97, 49.06, 53.97, 58.35, 49.34, 49.7, 91.53, 57.22, 114.47, 48.94, 84.07, 65.02, 117.77, 46.4, 45.01, 63.73, 66.13, 100.74, 47.91, 74.01]]
[150, [54.16, 54.44, 50.19, 51.89, 66.03, 68.37, 80.9, 50.54, 59.04, 52.58, 65.62, 56.49, 40.34, 55.45, 47.9, 68.06, 63.8, 56.73, 50.14, 70.37, 75.55, 54.93, 72.18, 57.36, 82.87, 51.22, 52.82, 60.71, 88.59, 73.03, 84.45, 82.12, 58.13, 44.7, 102.63, 56.76, 56.85, 59.36, 57.95, 53.14, 65.16, 66.43, 62.67, 67.0, 64.18, 90.23, 77.33, 57.83, 64.13, 66.43, 54.61, 60.27, 64.52, 63.2, 68.26, 48.59, 60.31, 55.52, 64.07, 56.21, 68.57, 83.22, 51.13, 60.82, 49.32, 362.74, 615.11, 562.0, 336.58, 204.4, 83.23, 62.57, 97.03, 67.55, 86.04, 70.6, 71.22, 73.28, 64.37, 53.11, 61.32, 54.66, 60.49, 64.18, 87.34, 54.82, 62.25, 56.27, 63.52, 63.71, 65.03, 65.76, 72.47, 60.7, 60.72, 50.14, 63.96, 50.99, 77.43, 51.01, 54.11]]
[170, [46.43, 67.17, 59.68, 52.73, 50.29, 49.37, 50.31, 54.34, 43.7, 40.33, 49.36, 41.5, 52.39, 42.91, 41.22, 40.87, 43.68, 51.29, 47.85, 62.12, 60.36, 42.45, 42.38, 48.51, 52.4, 47.91, 48.56, 51.27, 75.5, 45.51, 54.23, 62.24, 64.99, 77.22, 76.22, 59.02, 63.57, 53.5, 101.73, 56.67, 56.68, 65.83, 57.88, 76.28, 50.03, 64.8, 56.38, 70.36, 60.8, 65.89, 60.97, 53.9, 87.35, 47.17, 56.35, 45.38, 63.65, 54.56, 42.22, 44.26, 47.7, 51.53, 45.14, 46.19, 40.08, 332.08, 583.92, 531.28, 783.9, 174.42, 98.33, 52.71, 66.34, 57.24, 62.52, 58.65, 105.8, 71.54, 75.17, 66.32, 53.77, 60.78, 62.5, 63.76, 72.92, 46.57, 56.81, 64.8, 65.65, 53.27, 46.77, 55.51, 52.27, 68.59, 59.65, 47.0, 78.83, 55.42, 62.73, 46.58, 56.76]]
[190, [48.65, 70.02, 59.9, 53.07, 51.01, 57.22, 49.91, 54.66, 48.1, 41.79, 47.3, 43.61, 52.05, 43.08, 41.7, 42.95, 44.06, 51.69, 47.61, 61.46, 60.0, 47.79, 53.67, 47.74, 52.28, 48.2, 48.39, 53.46, 75.93, 45.24, 53.74, 62.6, 56.42, 70.56, 76.53, 68.93, 62.66, 44.52, 101.1, 50.91, 49.41, 66.14, 65.8, 77.26, 63.16, 68.71, 55.08, 54.68, 55.2, 65.54, 56.61, 58.68, 87.2, 41.87, 55.19, 45.72, 64.18, 53.87, 42.55, 43.69, 43.83, 51.38, 43.01, 50.42, 43.71, 332.23, 583.81, 531.8, 784.34, 176.61, 98.54, 48.67, 67.83, 54.98, 58.51, 55.81, 105.27, 72.83, 75.02, 59.73, 53.52, 61.77, 62.07, 64.02, 73.65, 46.08, 56.59, 62.69, 87.16, 44.54, 55.16, 47.46, 53.88, 68.44, 59.94, 53.73, 78.18, 55.11, 62.23, 53.04, 57.02]]
